post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47709535,Lethal conflict after group fission in wild chimpanzees,sports,8,2,impish9208,2026-04-10 23:58:20,0.2222,False
47708818,Native Instant Space Switching on macOS,science,605,294,PaulHoule,2026-04-10 23:58:20,0.4851,True
47651764,How Close Is Too Close? Applying Fluid Dynamics Research Methods to PC Cooling,science,29,7,LabsLucas,2026-04-10 23:58:20,0.2333,False
47650502,Computational Physics (2nd Edition) (2025),science,184,23,teleforce,2026-04-10 23:58:20,0.1243,True
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,56,0,tosh,2026-04-10 23:58:20,0.0,False
47701769,The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,science,7,1,sohkamyung,2026-04-10 23:58:20,0.125,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-10 23:58:20,0.547,False
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,54,30,babawere,2026-04-10 23:58:20,0.5455,False
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,161,153,randerson_112,2026-04-10 23:58:20,0.9444,False
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,46,23,behat,2026-04-10 23:58:20,0.4894,False
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,30,3,larry-the-agent,2026-04-10 23:58:20,0.0968,False
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,120,56,DamnInteresting,2026-04-10 23:58:20,0.4628,False
47704259,"Show HN: Guruka.com – free guided mediations. No signup, private, works offline",entertainment,32,11,eummm,2026-04-10 23:58:20,0.3333,False
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,140,157,latchkey,2026-04-10 23:58:20,1.1135,False
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,146,69,willmeyers,2026-04-10 23:58:20,0.4694,False
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,64,19,meribold,2026-04-10 23:58:20,0.2923,False
47705802,Show HN: Mdpdf a 2k line C CLI to convert Markdown to tiny PDFs,entertainment,11,4,bastscho,2026-04-10 23:58:20,0.3333,False
47696562,Show HN: Is Hormuz open yet?,entertainment,472,207,anonfunction,2026-04-10 23:58:20,0.4376,True
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,783,235,sam-bee,2026-04-10 23:58:20,0.2997,True
47657204,Show HN: We built a camera only robot vacuum for less than $300 (well almost),entertainment,107,55,indraneelpatil,2026-04-10 23:58:20,0.5093,False
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,61,12,rvitorper,2026-04-10 23:58:20,0.1935,False
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,55,25,vkatluri,2026-04-10 23:58:20,0.4464,False
47710713,"Show HN: Linear RNN/Reservoir hybrid generative model, one C file (no deps.)",entertainment,7,2,adinhitlore,2026-04-10 23:58:20,0.25,False
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,289,69,frasermarlow,2026-04-10 23:58:20,0.2379,True
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,230,28,MediaSquirrel,2026-04-10 23:58:20,0.1212,True
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,466,200,MattHart88,2026-04-10 23:58:20,0.4283,True
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,162,31,intofarlands,2026-04-10 23:58:20,0.1902,False
47715460,Show HN: Hindsight Simulator – Go back in time and get rich,entertainment,10,3,pattle,2026-04-10 23:58:20,0.2727,False
47704260,Show HN: Zoneless – Open-source Stripe Connect clone with $0.002 fees using USDC,entertainment,14,6,tinyprojects,2026-04-10 23:58:20,0.4,False
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,101,17,Sean-Der,2026-04-10 23:58:20,0.1667,False
47705780,Show HN: BrokenClaw Part 5: GPT-5.4 Edition (Prompt Injection),entertainment,9,2,veganmosfet,2026-04-10 23:58:20,0.2,False
